id,dfl12,dfl12bis,account,label,group,type,kinship,location,notes
dfl12_001,0,0,Balance on 8 November,Balance on 8 November,Balance on 8 November,Estate,FALSE,Antwerp,The account book
dfl12_002,0,0,Cassa,Cash register,Cash register,Cassa,FALSE,Antwerp,Income and payments in the form of cash
dfl12_003,1,1,Benedicto Vermer and brothers_1,Benedicto Vermer and brothers,Benedicto Vermer and brothers,Written off,FALSE,,"Written in Book n. 10 as of no worth, and so it is written off on the account Debiteuren ende crediteuren van diverse persoonen in 12 Bis – Bad_debt"
dfl12_004,2,2,Benedicto Vermer and brothers_2,Benedicto Vermer and brothers,Benedicto Vermer and brothers,Written off,FALSE,,Written off on the account Debiteuren ende crediteuren van diverse persoonen in 12 Bis – Bad_debt
dfl12_005,3,3,Benedicto Vermer_3,Benedicto Vermer,Benedicto Vermer and brothers,Written off,FALSE,,Written off on the account Debiteuren ende crediteuren van diverse persoonen in 12 Bis – Bad_debt
dfl12_006,4,4,Benedicto Vermer and brothers_4,Benedicto Vermer and brothers,Benedicto Vermer and brothers,Written off,FALSE,,Written off on the account Debiteuren ende crediteuren van diverse persoonen in 12 Bis – Bad_debt
dfl12_007,5,5,Louis Bragadin,Louis Bragadin,Louis Bragadin,Written off,FALSE,,Written off on the account Debiteuren ende crediteuren van diverse persoonen in 12 Bis – Bad_debt. He was from Venice.
dfl12_008,6,6,Peeter Vermer Nicolaess,Peeter Vermer Nicolaess,Peeter Vermer Nicolaess,Written off,FALSE,,Written off on the account Debiteuren ende crediteuren van diverse persoonen in 12 Bis – Bad_debt
dfl12_009,7,7,Lodewyck Helman,Lodewyck Helman,Lodewyck Helman,Written off,FALSE,,Written off on the account Debiteuren ende crediteuren van diverse persoonen in 12 Bis – Bad_debt
dfl12_011,9,9,Michiel Dermoyen,Michiel Dermoyen,Michiel Dermoyen,Written off,FALSE,,Written off on the account Debiteuren ende crediteuren van diverse persoonen in 12 Bis – Bad_debt
