dfl12,dfl12bis,credit,debit,account_1,relationship,account_2,date,librae,solidi,denarii,lsd,tr_type,notes
1,1,dfl12_001,dfl12_003,Benedicto Vermer and brothers_1,debtor,Balance on 8 November,15821108,0,0,1,0.0.1,,
2,2,dfl12_001,dfl12_004,Benedicto Vermer and brothers_2,debtor,Balance on 8 November,15821108,0,0,1,0.0.1,,
3,3,dfl12_001,dfl12_005,Benedicto Vermer_3,debtor,Balance on 8 November,15821108,0,0,1,0.0.1,,
4,4,dfl12_001,dfl12_006,Benedicto Vermer and brothers_4,debtor,Balance on 8 November,15821108,17,17,6,17.17.6,,
5,5,dfl12_001,dfl12_007,Louis Bragadin from Venice,debtor,Balance on 8 November,15821108,10,4,0,10.4.0,,
6,6,dfl12_001,dfl12_008,Peeter Vermer Nicolaess,debtor,Balance on 8 November,15821108,0,15,2,0.15.2,,
7,7,dfl12_001,dfl12_009,Lodewyck Helman,debtor,Balance on 8 November,15821108,16,4,10,16.4.10,,
9,9,dfl12_001,dfl12_011,Michiel Dermoyen,debtor,Balance on 8 November,15821108,11,5,0,11.5.0,,
10,NA,dfl12_001,dfl12_012,Peeter della Faille de Oude,debtor,Balance on 8 November,15821108,62,7,9,62.7.9,,
11,NA,dfl12_001,dfl12_013,Roelant Paulet_1,debtor,Balance on 8 November,15821108,25,0,0,25.0.0,,
12,11,dfl12_001,dfl12_014,Servaes Baes,debtor,Balance on 8 November,15821108,0,0,1,0.0.1,,
13,12,dfl12_001,dfl12_015,Julio Bargarusio,debtor,Balance on 8 November,15821108,38,15,0,38.15.0,,
14,13,dfl12_001,dfl12_016,Heirs of Huysbrecht Verstraeten,debtor,Balance on 8 November,15821108,0,0,1,0.0.1,,
15,NA,dfl12_001,dfl12_017,Frederico Perenot Heer van Champagny,debtor,Balance on 8 November,15821108,75,0,0,75.0.0,,
15,NA,dfl12_017,dfl12_002,Frederico Perenot Heer van Champagny,creditor,Cassa,15830312,98,11,7,98.11.7,,
16,NA,dfl12_001,dfl12_018,City of Antwerp,debtor,Balance on 8 November,15821108,317,11,2,317.11.2,,
17,14,dfl12_001,dfl12_019,Wouter Aertsen,debtor,Balance on 8 November,15821108,1,10,8,1.10.8,,
19,NA,dfl12_001,dfl12_021,Jan de Witthem Heere van Beersele,debtor,Balance on 8 November,15821108,130,10,0,130.10.0,,
20,NA,dfl12_001,dfl12_022,Jan Peeterssen,debtor,Balance on 8 November,15821108,0,12,0,0.12.0,,
22,18,dfl12_001,dfl12_024,Lucas de Hemele,debtor,Balance on 8 November,15821108,1,7,3,1.7.3,,
22,18,dfl12_024,dfl12_002,Lucas de Hemele,creditor,Cassa,15940913,1,7,3,1.7.3,,
23,NA,dfl12_001,dfl12_025,Bocralen overhoop_1,debtor,Balance on 8 November,15821108,36,5,0,36.5.0,,
23,NA,dfl12_025,dfl12_116,Bocralen overhoop_1,creditor,Carseyen overhoop,15831116,36,5,0,36.5.0,,
24,NA,dfl12_001,dfl12_026,Lynwaet in company with Gillis del Ponte and Hilaria della Faille,debtor,Balance on 8 November,15821108,138,11,1,138.11.1,,
24,NA,dfl12_050,dfl12_026,Lynwaet in company with Gillis del Ponte and Hilaria della Faille,debtor,Margriete van Hoogersteyn,15830103,6,15,11,6.15.11,,
24,NA,dfl12_064,dfl12_026,Lynwaet in company with Gillis del Ponte and Hilaria della Faille,debtor,Hilaria della Faille_1,15830919,144,14,7.5,144.14.7 1/2,,Hilaria’s half of the profits
24,NA,dfl12_026,dfl12_213,Lynwaet in company with Gillis del Ponte and Hilaria della Faille,debtor,Lynwaeten in company with Hilaria della Faille,15830919,333,17,0,333.17.0,Accounting,Brought over to a new account
25,21,dfl12_001,dfl12_027,Antoine Malapert,debtor,Balance on 8 November,15821108,6,2,4.5,6.2.4 1/2,,
25,21,dfl12_027,dfl12_272,Antoine Malapert,creditor,Louis Malapert_2,15940920,6,2,4.5,6.2.4 1/2,,
26,22,dfl12_001,dfl12_028,Jan de Vooght_1,debtor,Balance on 8 November,15821108,80,0,0,80.0.0,,
26,22,dfl12_028,dfl12_313,Jan de Vooght_1,creditor,Jan de Vooght_2,15940920,1,16,11.5,1.16.11 1/2,,
27,23,dfl12_001,dfl12_029,Loys Hasebaert,debtor,Balance on 8 November,15821108,58,3,10,58.3.10,,
28,24,dfl12_001,dfl12_030,Mayken Reyniers weduwe of Jan Ridderincx,debtor,Balance on 8 November,15821108,1,10,0,1.10.0,,
28,24,dfl12_030,dfl12_083,Mayken Reyniers weduwe of Jan Ridderincx,creditor,Catharina de Hane,15841122,1,10,0,1.10.0,,
29,NA,dfl12_001,dfl12_031,Heer Dierick van Liesvelt,debtor,Balance on 8 November,15821108,100,0,0,100.0.0,,
29,NA,dfl12_031,dfl12_296,Heer Dierick van Liesvelt,creditor,Oncosten van't process tegens Daniel de Hane,15830919,100,0,0,100.0.0,Lawsuit,
30,NA,dfl12_001,dfl12_032,Gillis van den Bogaerde and Marcus Schoor_1,debtor,Balance on 8 November,15821108,173,8,9,173.8.9,,
30,NA,dfl12_032,dfl12_002,Gillis van den Bogaerde and Marcus Schoor_1,creditor,Cassa,15821114,108,8,9,108.8.9,,
30,NA,dfl12_032,dfl12_080,Gillis van den Bogaerde and Marcus Schoor_1,creditor,Willem van den Mey_2,15821123,65,0,0,65.0.0,Book_transfer,
31,NA,dfl12_001,dfl12_033,Jacomo Widhols,debtor,Balance on 8 November,15821108,81,1,5,81.1.5,,
31,NA,dfl12_033,dfl12_091,Jacomo Widhols,creditor,Jan Widhols nieuw rekening,15830113,91,9,10,91.9.10,,
31,NA,dfl12_002,dfl12_033,Jacomo Widhols,debtor,Cassa,15830919,12,4,8,12.4.8,,
32,NA,dfl12_001,dfl12_034,Gillis del Ponte,debtor,Balance on 8 November,15821108,47,14,1,47.14.1,,
32,NA,dfl12_034,dfl12_064,Gillis del Ponte,creditor,Hilaria della Faille_1,15830825,37,14,1,37.14.1,,
32,NA,dfl12_034,dfl12_064,Gillis del Ponte,creditor,Hilaria della Faille_1,15831116,10,0,0,10.0.0,,
33,NA,dfl12_001,dfl12_035,Weduwe van Henrick Packmuts,debtor,Balance on 8 November,15821108,100,0,0,100.0.0,,
34,NA,dfl12_001,dfl12_036,Matthys van Bergen,debtor,Balance on 8 November,15821108,90,10,9,90.10.9,Wissel,
35,25,dfl12_001,dfl12_037,Jaspar Celosse,debtor,Balance on 8 November,15821108,48,0,0,48.0.0,,
35,25,dfl12_002,dfl12_037,Jaspar Celosse,debtor,Cassa,15830628,16,13,4,16.13.4,,
35,25,dfl12_037,dfl12_149,Jaspar Celosse,creditor,Luis Cutsini_1,15830629,9,7,2.5,9.7.2 1/2,,
35,25,dfl12_002,dfl12_037,Jaspar Celosse,debtor,Cassa,15841122,2,16,7,2.16.7,Wissel,
36,NA,dfl12_001,dfl12_038,Winninge ende verlies_1,debtor,Balance on 8 November,15821108,324,16,0,324.16.0,,
36,NA,dfl12_038,dfl12_111,Winninge ende verlies_1,creditor,Voyagie van Venice,15830512,8000,0,0,8000.0.0,Profits,
36,NA,dfl12_038,dfl12_111,Winninge ende verlies_1,creditor,Voyagie van Venice,15830512,834,10,0,834.10.0,Accounting,For the 'advance inden wissel’
36,NA,dfl12_038,dfl12_110,Winninge ende verlies_1,creditor,Voyagie van Verona,15830706,2589,5,0,2589.5.0,Profits,
36,NA,dfl12_038,dfl12_047,Winninge ende verlies_1,creditor,Carseyen in company of Jan de Wale,15830809,351,18,7,351.18.7,Profits,
36,NA,dfl12_038,dfl12_017,Winninge ende verlies_1,creditor,Frederico Perenot Heer van Champagny,15830831,23,11,7,23.11.7,,
36,NA,dfl12_147,dfl12_038,Winninge ende verlies_1,debtor,Turcxe camelotten in company with Jan de Wale,15830919,10,16,0,10.16.0,,
36,NA,dfl12_035,dfl12_038,Winninge ende verlies_1,debtor,Weduwe van Henrick Packmuts,15830919,100,0,0,100.0.0,Bad_debt,
36,NA,dfl12_038,dfl12_048,Winninge ende verlies_1,creditor,Lynwaet in the company of Willem van den Mey,15830919,117,0,7,117.0.7,Profits,
36,NA,dfl12_038,dfl12_068,Winninge ende verlies_1,creditor,Napelse Syde,15830919,1314,9,5.5,1314.9.5 1/2,Profits,
36,NA,dfl12_038,dfl12_026,Winninge ende verlies_1,creditor,Lynwaet in company with Gillis del Ponte and Hilaria della Faille,15830919,144,14,7.5,144.14.7 1/2,Profits,
36,NA,dfl12_038,dfl12_065,Winninge ende verlies_1,creditor,Lynwaeten,15830919,2426,14,5,2426.14.5,Profits,
36,NA,dfl12_038,dfl12_086,Winninge ende verlies_1,creditor,Ardasse syde ende cleyn foullie,15830919,34,6,3,34.6.3,Profits,
36,NA,dfl12_044,dfl12_038,Winninge ende verlies_1,debtor,Camelotten overhoop,15830919,39,16,3,39.16.3,,
36,NA,dfl12_038,dfl12_095,Winninge ende verlies_1,creditor,Florette syde,15830919,4281,5,8,4281.5.8,Profits,
36,NA,dfl12_038,dfl12_089,Winninge ende verlies_1,creditor,Ardasse and Canarine syde van Marten della Faille and Jan de Wale,15830919,44,15,0,44.15.0,Profits,
36,NA,dfl12_038,dfl12_040,Winninge ende verlies_1,creditor,Lynwaeten for the rekening of Hilaria della Faille and Hester van Eeckeren,15830919,64,12,6,64.12.6,Profits,
36,NA,dfl12_038,dfl12_096,Winninge ende verlies_1,creditor,Fyn syde,15830919,7168,11,1.5,7168.11.1 1/2,Profits,
36,NA,dfl12_038,dfl12_042,Winninge ende verlies_1,creditor,Fyn rouwe syde,15830919,782,17,1,782.17.1,Profits,
36,NA,dfl12_036,dfl12_038,Winninge ende verlies_1,debtor,Matthys van Bergen,15830919,90,10,9,90.10.9,Bad_debt,"For a wissel from Hamburg to London, 'd'welck mits syn faillissement voor verloren geschict woort’."
36,NA,dfl12_038,dfl12_089,Winninge ende verlies_1,creditor,Ardasse and Canarine syde van Marten della Faille and Jan de Wale,15831215,0,0,8,0.0.8,,
36,NA,dfl12_213,dfl12_038,Winninge ende verlies_1,debtor,Lynwaeten in company with Hilaria della Faille,15831215,0,3,1.5,0.3.1 1/2,,
36,NA,dfl12_212,dfl12_038,Winninge ende verlies_1,debtor,Ardasse ende Canarine syde in company with Jan de Wale nieuw rekening,15831215,0,4,5,0.4.5,,
36,NA,dfl12_289,dfl12_038,Winninge ende verlies_1,debtor,Creditors of this Book,15831215,14693,7,2.5,14693.7.2 1/2,,"For the profits of Jan de Oude's capital during this time. This is the amount that the profits are more than the losses, and so is to be split by the heirs."
36,NA,dfl12_098,dfl12_038,Winninge ende verlies_1,debtor,Oncosten van coopmansschappen,15831215,3584,17,4,3584.17.4,,
36,NA,dfl12_112,dfl12_038,Winninge ende verlies_1,debtor,Voyagie van London,15831215,464,13,6,464.13.6,,Expenses in London
36,NA,dfl12_112,dfl12_038,Winninge ende verlies_1,debtor,Voyagie van London,15831215,682,0,1.5,682.0.1 1/2,,Salary of Marten for his work on the sterfhuis
37,26,dfl12_001,dfl12_039,Joos de Voghele_1,debtor,Balance on 8 November,15821108,0,0,1,0.0.1,,
38,279,dfl12_001,dfl12_040,Lynwaeten for the rekening of Hilaria della Faille and Hester van Eeckeren,debtor,Balance on 8 November,15821108,395,14,7,395.14.7,,
38,279,dfl12_064,dfl12_040,Lynwaeten for the rekening of Hilaria della Faille and Hester van Eeckeren,debtor,Hilaria della Faille_1,15830919,32,6,4,32.6.4,,Hilaria’s part of the profits
38,279,dfl12_064,dfl12_040,Lynwaeten for the rekening of Hilaria della Faille and Hester van Eeckeren,debtor,Hilaria della Faille_1,15831215,34,13,10,34.13.10,,Hilaria’s part of the profits
39,27,dfl12_001,dfl12_041,Joos de Voghele_2,debtor,Balance on 8 November,15821108,0,6,0,0.6.0,,
40,86,dfl12_001,dfl12_042,Fyn rouwe syde,debtor,Balance on 8 November,15821108,1587,7,7,1587.7.7,,
40,86,dfl12_052,dfl12_042,Fyn rouwe syde,debtor,Capitoen syde ende Hoffsaet,15830919,48,7,4,48.7.4,,
40,86,dfl12_042,dfl12_089,Fyn rouwe syde,creditor,Ardasse and Canarine syde van Marten della Faille and Jan de Wale,15830919,673,10,11,673.10.11,,
40,86,dfl12_002,dfl12_042,Fyn rouwe syde,debtor,Cassa,15840322,1,1,8,1.1.8,,For a license in transportation to Antwerp
40,86,dfl12_042,dfl12_211,Fyn rouwe syde,creditor,Ardasse syde ende cleyn foullie nieuw rekeninge,15940905,137,3,0,137.3.0,,
40,86,dfl12_042,dfl12_481,Fyn rouwe syde,creditor,Olivier Coeck,15940912,189,9,11,189.9.11,,
40,86,dfl12_002,dfl12_042,Fyn rouwe syde,debtor,Cassa,15940915,1,11,7,1.11.7,,
40,86,dfl12_481,dfl12_042,Fyn rouwe syde,debtor,Olivier Coeck,15940915,57,18,8,57.18.8,Accounting,To close the account
41,240,dfl12_001,dfl12_043,Peeter della Faille de Jonge,debtor,Balance on 8 November,15821108,69,17,3,69.17.3,,
41,240,dfl12_002,dfl12_043,Peeter della Faille de Jonge,debtor,Cassa,15821121,20,0,0,20.0.0,,Paid himself
41,240,dfl12_050,dfl12_043,Peeter della Faille de Jonge,debtor,Margriete van Hoogersteyn,15830103,0,16,8,0.16.8,,For bleaching of two pieces of linen
41,240,dfl12_002,dfl12_043,Peeter della Faille de Jonge,debtor,Cassa,15830212,30,0,0,30.0.0,,Paid himself
41,240,dfl12_002,dfl12_043,Peeter della Faille de Jonge,debtor,Cassa,15830723,8,3,8,8.3.8,,Paid himself
42,225,dfl12_001,dfl12_044,Camelotten overhoop,debtor,Balance on 8 November,15821108,1313,14,11,1313.14.11,,
42,225,dfl12_084,dfl12_044,Camelotten overhoop,debtor,Jan Verbeke,15830110,0,2,4,0.2.4,,
42,225,dfl12_044,dfl12_215,Camelotten overhoop,creditor,Camelotten overhoop nieuw rekeninge,15830919,652,4,0,652.4.0,,
42,225,dfl12_268,dfl12_044,Camelotten overhoop,debtor,Oncosten van conduitten,15840222,24,0,0,24.0.0,Accounting,To close the account
43,28,dfl12_001,dfl12_045,Jan van Neste,debtor,Balance on 8 November,15821108,140,0,0,140.0.0,,
44,NA,dfl12_001,dfl12_046,Jan de Hilte van Cortryck,debtor,Balance on 8 November,15821108,7,3,10,7.3.10,,
45,NA,dfl12_001,dfl12_047,Carseyen in company of Jan de Wale,debtor,Balance on 8 November,15821108,596,12,8,596.12.8,,
45,NA,dfl12_047,dfl12_147,Carseyen in company of Jan de Wale,creditor,Turcxe camelotten in company with Jan de Wale,15830106,152,6,4,152.6.4,,
45,NA,dfl12_047,dfl12_147,Carseyen in company of Jan de Wale,creditor,Turcxe camelotten in company with Jan de Wale,15830106,361,14,4,361.14.4,,54 pieces dobbel grossgreynen
45,NA,dfl12_073,dfl12_047,Carseyen in company of Jan de Wale,debtor,Jan de Wale_1,15830809,222,9,11,222.9.11,Wissel,
45,NA,dfl12_147,dfl12_047,Carseyen in company of Jan de Wale,debtor,Turcxe camelotten in company with Jan de Wale,15830809,257,0,4,257.0.4,,3 bales sent from Venice
45,NA,dfl12_047,dfl12_089,Carseyen in company of Jan de Wale,creditor,Ardasse and Canarine syde van Marten della Faille and Jan de Wale,15830809,317,5,4,317.5.4,,
46,89,dfl12_001,dfl12_048,Lynwaet in the company of Willem van den Mey,debtor,Balance on 8 November,15821108,304,4,2,304.4.2,,
46,89,dfl12_080,dfl12_048,Lynwaet in the company of Willem van den Mey,debtor,Willem van den Mey_2,15830919,324,1,5,324.1.5,,For Willem van den Mey’s part in the sale of 96 pieces of linen sold in London
46,89,dfl12_080,dfl12_048,Lynwaet in the company of Willem van den Mey,debtor,Willem van den Mey_2,15940905,184,17,9,184.17.9,,For Willem van den Mey’s part in the sale of linen
47,NA,dfl12_001,dfl12_049,Ghysbrecht Tytgat,debtor,Balance on 8 November,15821108,2,2,4,2.2.4,,
47,NA,dfl12_049,dfl12_358,Ghysbrecht Tytgat,creditor,Geleyen Lytgat,15830825,2,2,4,2.2.4,,
48,NA,dfl12_001,dfl12_050,Margriete van Hoogersteyn,debtor,Balance on 8 November,15821108,7,13,1.5,7.13.1 1/2,,
48,NA,dfl12_050,dfl12_301,Margriete van Hoogersteyn,creditor,Dierick de Jagere,15830103,6,16,0,6.16.0,,
48,NA,dfl12_050,dfl12_099,Margriete van Hoogersteyn,creditor,Lodewyck Blommaert_1,15830212,217,4,7,217.4.7,Wissel,
48,NA,dfl12_002,dfl12_050,Margriete van Hoogersteyn,debtor,Cassa,15830312,145,4,1,145.4.1,,
49,29,dfl12_001,dfl12_051,Rigo Minauw,debtor,Balance on 8 November,15821108,102,13,10,102.13.10,,
49,29,dfl12_002,dfl12_051,Rigo Minauw,debtor,Cassa,15940915,25,0,0,25.0.0,,
49,29,dfl12_051,dfl12_305,Rigo Minauw,creditor,Rigo Minauw nieuwe rekening,15940915,5,7,8,5.7.8,,
49,29,dfl12_051,dfl12_066,Rigo Minauw,creditor,Francisco van Eeckeren_1,15940915,8,15,7,8.15.7,,
50,NA,dfl12_001,dfl12_052,Capitoen syde ende Hoffsaet,debtor,Balance on 8 November,15821108,58,19,5,58.19.5,,
51,NA,dfl12_001,dfl12_053,Carel van Malsen,debtor,Balance on 8 November,15821108,4,11,8,4.11.8,,
51,NA,dfl12_002,dfl12_053,Carel van Malsen,debtor,Cassa,15821115,8,6,8,8.6.8,,
