credit,debit,date,l,s,d
dfl12_001,dfl12_003,1582-11-08,0,0,1
dfl12_001,dfl12_004,1582-11-08,0,0,1
dfl12_001,dfl12_005,1582-11-08,0,0,1
dfl12_001,dfl12_006,1582-11-08,17,17,6
dfl12_001,dfl12_007,1582-11-08,10,4,0
dfl12_001,dfl12_008,1582-11-08,0,15,2
dfl12_001,dfl12_009,1582-11-08,16,4,10
dfl12_001,dfl12_011,1582-11-08,11,5,0
dfl12_001,dfl12_012,1582-11-08,62,7,9
dfl12_001,dfl12_013,1582-11-08,25,0,0
dfl12_001,dfl12_014,1582-11-08,0,0,1
dfl12_001,dfl12_015,1582-11-08,38,15,0
dfl12_001,dfl12_016,1582-11-08,0,0,1
dfl12_001,dfl12_017,1582-11-08,75,0,0
dfl12_017,dfl12_002,1583-03-12,98,11,7
dfl12_001,dfl12_018,1582-11-08,317,11,2
dfl12_001,dfl12_019,1582-11-08,1,10,8
dfl12_001,dfl12_021,1582-11-08,130,10,0
dfl12_001,dfl12_022,1582-11-08,0,12,0
dfl12_001,dfl12_024,1582-11-08,1,7,3
dfl12_024,dfl12_002,1594-09-13,1,7,3
dfl12_001,dfl12_025,1582-11-08,36,5,0
dfl12_025,dfl12_116,1583-11-16,36,5,0
dfl12_001,dfl12_026,1582-11-08,138,11,1
dfl12_050,dfl12_026,1583-01-03,6,15,11
dfl12_064,dfl12_026,1583-09-19,144,14,7.5
dfl12_026,dfl12_213,1583-09-19,333,17,0
dfl12_001,dfl12_027,1582-11-08,6,2,4.5
dfl12_027,dfl12_272,1594-09-20,6,2,4.5
dfl12_001,dfl12_028,1582-11-08,80,0,0
dfl12_028,dfl12_313,1594-09-20,1,16,11.5
dfl12_001,dfl12_029,1582-11-08,58,3,10
dfl12_001,dfl12_030,1582-11-08,1,10,0
dfl12_030,dfl12_083,1584-11-22,1,10,0
dfl12_001,dfl12_031,1582-11-08,100,0,0
dfl12_031,dfl12_296,1583-09-19,100,0,0
dfl12_001,dfl12_032,1582-11-08,173,8,9
dfl12_032,dfl12_002,1582-11-14,108,8,9
dfl12_032,dfl12_080,1582-11-23,65,0,0
dfl12_001,dfl12_033,1582-11-08,81,1,5
dfl12_033,dfl12_091,1583-01-13,91,9,10
dfl12_002,dfl12_033,1583-09-19,12,4,8
dfl12_001,dfl12_034,1582-11-08,47,14,1
dfl12_034,dfl12_064,1583-08-25,37,14,1
dfl12_034,dfl12_064,1583-11-16,10,0,0
dfl12_001,dfl12_035,1582-11-08,100,0,0
dfl12_001,dfl12_036,1582-11-08,90,10,9
dfl12_001,dfl12_037,1582-11-08,48,0,0
dfl12_002,dfl12_037,1583-06-28,16,13,4
dfl12_037,dfl12_149,1583-06-29,9,7,2.5
dfl12_002,dfl12_037,1584-11-22,2,16,7
dfl12_001,dfl12_038,1582-11-08,324,16,0
dfl12_038,dfl12_111,1583-05-12,8000,0,0
dfl12_038,dfl12_111,1583-05-12,834,10,0
dfl12_038,dfl12_110,1583-07-06,2589,5,0
dfl12_038,dfl12_047,1583-08-09,351,18,7
dfl12_038,dfl12_017,1583-08-31,23,11,7
dfl12_147,dfl12_038,1583-09-19,10,16,0
dfl12_035,dfl12_038,1583-09-19,100,0,0
dfl12_038,dfl12_048,1583-09-19,117,0,7
dfl12_038,dfl12_068,1583-09-19,1314,9,5.5
dfl12_038,dfl12_026,1583-09-19,144,14,7.5
dfl12_038,dfl12_065,1583-09-19,2426,14,5
dfl12_038,dfl12_086,1583-09-19,34,6,3
dfl12_044,dfl12_038,1583-09-19,39,16,3
dfl12_038,dfl12_095,1583-09-19,4281,5,8
dfl12_038,dfl12_089,1583-09-19,44,15,0
dfl12_038,dfl12_040,1583-09-19,64,12,6
