credit,debit,date,l,s,d
1,3,1582-11-08,0,0,1
1,3,1582-11-08,0,0,1
1,3,1582-11-08,0,0,1
1,3,1582-11-08,17,17,6
1,4,1582-11-08,10,4,0
1,5,1582-11-08,0,15,2
1,6,1582-11-08,16,4,10
1,7,1582-11-08,11,5,0
1,8,1582-11-08,62,7,9
1,9,1582-11-08,25,0,0
1,10,1582-11-08,0,0,1
1,11,1582-11-08,38,15,0
1,12,1582-11-08,0,0,1
1,13,1582-11-08,75,0,0
13,2,1583-03-12,98,11,7
1,9,1582-11-08,317,11,2
1,14,1582-11-08,1,10,8
1,9,1582-11-08,130,10,0
1,15,1582-11-08,0,12,0
1,16,1582-11-08,1,7,3
16,2,1594-09-13,1,7,3
1,17,1582-11-08,36,5,0
17,35,1583-11-16,36,5,0
1,17,1582-11-08,138,11,1
37,17,1583-01-03,6,15,11
50,17,1583-09-19,144,14,7.5
1,18,1582-11-08,6,2,4.5
18,85,1594-09-20,6,2,4.5
1,19,1582-11-08,80,0,0
1,20,1582-11-08,58,3,10
1,21,1582-11-08,1,10,0
21,65,1584-11-22,1,10,0
1,22,1582-11-08,100,0,0
22,152,1583-09-19,100,0,0
1,23,1582-11-08,173,8,9
23,2,1582-11-14,108,8,9
23,55,1582-11-23,65,0,0
1,24,1582-11-08,81,1,5
24,73,1583-01-13,91,9,10
2,24,1583-09-19,12,4,8
1,25,1582-11-08,47,14,1
25,50,1583-08-25,37,14,1
25,50,1583-11-16,10,0,0
1,26,1582-11-08,100,0,0
1,26,1582-11-08,90,10,9
1,27,1582-11-08,48,0,0
2,27,1583-06-28,16,13,4
27,70,1583-06-29,9,7,2.5
2,27,1584-11-22,2,16,7
1,28,1582-11-08,324,16,0
28,83,1583-05-12,8000,0,0
28,83,1583-05-12,834,10,0
28,82,1583-07-06,2589,5,0
28,35,1583-08-09,351,18,7
28,13,1583-08-31,23,11,7
32,28,1583-09-19,10,16,0
26,28,1583-09-19,100,0,0
28,17,1583-09-19,117,0,7
28,53,1583-09-19,1314,9,5.5
28,17,1583-09-19,144,14,7.5
28,17,1583-09-19,2426,14,5
28,68,1583-09-19,34,6,3
32,28,1583-09-19,39,16,3
28,61,1583-09-19,4281,5,8
28,71,1583-09-19,44,15,0
28,17,1583-09-19,64,12,6
28,30,1583-09-19,7168,11,1.5
28,30,1583-09-19,782,17,1
26,28,1583-09-19,90,10,9
28,71,1583-12-15,0,0,8
17,28,1583-12-15,0,3,1.5
71,28,1583-12-15,0,4,5
88,28,1583-12-15,14693,7,2.5
76,28,1583-12-15,3584,17,4
84,28,1583-12-15,464,13,6
84,28,1583-12-15,682,0,1.5
1,29,1582-11-08,0,0,1
1,17,1582-11-08,395,14,7
50,17,1583-09-19,32,6,4
50,17,1583-12-15,34,13,10
1,29,1582-11-08,0,6,0
1,30,1582-11-08,1587,7,7
39,30,1583-09-19,48,7,4
30,71,1583-09-19,673,10,11
2,30,1584-03-22,1,1,8
30,68,1594-09-05,137,3,0
30,218,1594-09-12,189,9,11
2,30,1594-09-15,1,11,7
218,30,1594-09-15,57,18,8
1,31,1582-11-08,69,17,3
2,31,1582-11-21,20,0,0
37,31,1583-01-03,0,16,8
2,31,1583-02-12,30,0,0
2,31,1583-07-23,8,3,8
1,32,1582-11-08,1313,14,11
66,32,1583-01-10,0,2,4
