credit,debit,date,l,s,d
1,3,1582-11-08,0,0,1
1,4,1582-11-08,0,0,1
1,5,1582-11-08,0,0,1
1,6,1582-11-08,17,17,6
1,7,1582-11-08,10,4,0
1,8,1582-11-08,0,15,2
1,9,1582-11-08,16,4,10
1,10,1582-11-08,11,5,0
1,11,1582-11-08,62,7,9
1,12,1582-11-08,25,0,0
1,13,1582-11-08,0,0,1
1,14,1582-11-08,38,15,0
1,15,1582-11-08,0,0,1
1,16,1582-11-08,75,0,0
16,2,1583-03-12,98,11,7
1,17,1582-11-08,317,11,2
1,18,1582-11-08,1,10,8
1,19,1582-11-08,130,10,0
1,20,1582-11-08,0,12,0
1,21,1582-11-08,1,7,3
21,2,1594-09-13,1,7,3
1,22,1582-11-08,36,5,0
22,106,1583-11-16,36,5,0
1,23,1582-11-08,138,11,1
47,23,1583-01-03,6,15,11
61,23,1583-09-19,144,14,7.5
23,203,1583-09-19,333,17,0
1,24,1582-11-08,6,2,4.5
24,261,1594-09-20,6,2,4.5
1,25,1582-11-08,80,0,0
25,302,1594-09-20,1,16,11.5
1,26,1582-11-08,58,3,10
1,27,1582-11-08,1,10,0
27,80,1584-11-22,1,10,0
1,28,1582-11-08,100,0,0
28,285,1583-09-19,100,0,0
1,29,1582-11-08,173,8,9
29,2,1582-11-14,108,8,9
29,77,1582-11-23,65,0,0
1,30,1582-11-08,81,1,5
30,88,1583-01-13,91,9,10
2,30,1583-09-19,12,4,8
1,31,1582-11-08,47,14,1
31,61,1583-08-25,37,14,1
31,61,1583-11-16,10,0,0
1,32,1582-11-08,100,0,0
1,33,1582-11-08,90,10,9
1,34,1582-11-08,48,0,0
2,34,1583-06-28,16,13,4
34,139,1583-06-29,9,7,2.5
2,34,1584-11-22,2,16,7
1,35,1582-11-08,324,16,0
35,103,1583-05-12,8000,0,0
35,103,1583-05-12,834,10,0
35,102,1583-07-06,2589,5,0
35,44,1583-08-09,351,18,7
35,16,1583-08-31,23,11,7
137,35,1583-09-19,10,16,0
32,35,1583-09-19,100,0,0
35,45,1583-09-19,117,0,7
35,65,1583-09-19,1314,9,5.5
35,23,1583-09-19,144,14,7.5
35,62,1583-09-19,2426,14,5
35,83,1583-09-19,34,6,3
41,35,1583-09-19,39,16,3
35,90,1583-09-19,4281,5,8
35,86,1583-09-19,44,15,0
35,37,1583-09-19,64,12,6
35,91,1583-09-19,7168,11,1.5
35,39,1583-09-19,782,17,1
33,35,1583-09-19,90,10,9
35,86,1583-12-15,0,0,8
203,35,1583-12-15,0,3,1.5
202,35,1583-12-15,0,4,5
278,35,1583-12-15,14693,7,2.5
93,35,1583-12-15,3584,17,4
104,35,1583-12-15,464,13,6
104,35,1583-12-15,682,0,1.5
1,36,1582-11-08,0,0,1
1,37,1582-11-08,395,14,7
61,37,1583-09-19,32,6,4
61,37,1583-12-15,34,13,10
1,38,1582-11-08,0,6,0
1,39,1582-11-08,1587,7,7
49,39,1583-09-19,48,7,4
39,86,1583-09-19,673,10,11
2,39,1584-03-22,1,1,8
39,201,1594-09-05,137,3,0
39,469,1594-09-12,189,9,11
2,39,1594-09-15,1,11,7
469,39,1594-09-15,57,18,8
1,40,1582-11-08,69,17,3
2,40,1582-11-21,20,0,0
47,40,1583-01-03,0,16,8
2,40,1583-02-12,30,0,0
2,40,1583-07-23,8,3,8
1,41,1582-11-08,1313,14,11
81,41,1583-01-10,0,2,4
41,205,1583-09-19,652,4,0
257,41,1584-02-22,24,0,0
1,42,1582-11-08,140,0,0
1,43,1582-11-08,7,3,10
1,44,1582-11-08,596,12,8
44,137,1583-01-06,152,6,4
44,137,1583-01-06,361,14,4
70,44,1583-08-09,222,9,11
137,44,1583-08-09,257,0,4
44,86,1583-08-09,317,5,4
1,45,1582-11-08,304,4,2
77,45,1583-09-19,324,1,5
77,45,1594-09-05,184,17,9
1,46,1582-11-08,2,2,4
46,347,1583-08-25,2,2,4
1,47,1582-11-08,7,13,1.5
47,290,1583-01-03,6,16,0
47,94,1583-02-12,217,4,7
2,47,1583-03-12,145,4,1
1,48,1582-11-08,102,13,10
2,48,1594-09-15,25,0,0
48,294,1594-09-15,5,7,8
48,63,1594-09-15,8,15,7
1,49,1582-11-08,58,19,5
1,50,1582-11-08,4,11,8
2,50,1582-11-15,8,6,8
2,50,1582-11-21,4,0,0
2,50,1583-02-08,13,1,8
50,290,1583-09-19,30,0,0
1,51,1582-11-08,12,0,0
51,93,1583-06-04,12,0,0
1,52,1582-11-08,344,7,8
73,52,1583-11-16,16,13,4
1,53,1582-11-08,43,6,8
1,54,1582-11-08,100,0,0
2,54,1583-03-12,6,0,0
54,298,1583-09-19,100,0,0
69,54,1583-09-19,19,0,0
54,2,1594-09-12,25,0,0
1,55,1582-11-08,35,14,5
1,56,1582-11-08,50,0,0
1,57,1582-11-08,2,11,4
2,57,1583-01-08,5,5,7
1,58,1582-11-08,86,13,4
58,2,1583-04-26,73,6,8
58,2,1583-09-19,26,13,4
1,59,1582-11-08,333,6,8
59,2,1582-11-10,333,6,8
1,60,1582-11-08,15,12,4
60,2,1583-03-12,15,13,0
2,60,1583-07-23,0,0,8
60,2,1583-07-23,15,11,8
60,2,1584-03-15,23,7,6
1,61,1582-11-08,39,17,10
61,79,1583-01-06,2,1,2
79,61,1583-01-06,8,1,11.5
79,61,1583-01-06,8,4,2
2,61,1583-02-01,15,0,0
2,61,1583-03-12,2,0,0
2,61,1583-03-12,4,19,4
2,61,1583-03-25,15,0,0
2,61,1583-05-28,20,0,0
77,61,1583-06-29,44,0,0
2,61,1583-07-11,10,0,0
2,61,1583-07-19,12,7,0
2,61,1583-08-05,155,0,0
2,61,1583-08-06,155,8,4
2,61,1583-08-06,155,8,4
2,61,1583-08-10,16,13,4
2,61,1583-08-13,105,11,1.5
2,61,1583-08-13,83,6,8
2,61,1583-08-25,1056,5,1
61,258,1583-08-25,1600,0,0
96,61,1583-08-25,19,13,3
347,61,1583-08-25,2,2,4
79,61,1583-09-19,0,0,3
61,79,1583-09-19,1,14,2
79,61,1583-09-19,127,15,7
61,79,1583-09-19,14,4,11
79,61,1583-09-19,31,4,4
2,61,1583-12-01,45,0,0
2,61,1584-07-13,13,10,7
1,62,1582-11-08,5526,4,11.5
47,62,1583-01-03,2,14,7
62,79,1583-01-06,0,4,1
79,62,1583-01-06,2,17,2
62,79,1583-01-06,37,14,0
79,62,1583-01-06,499,19,3
62,79,1583-01-06,66,6,4
62,88,1583-01-10,58,6,4
77,62,1583-06-29,83,3,10
62,96,1583-08-25,7,4,7
96,62,1583-08-25,81,12,11
77,62,1583-12-28,43,7,3
1,63,1582-11-08,34,4,1
1,64,1582-11-08,2,6,8
1,65,1582-11-08,3265,13,10
65,70,1583-09-08,16,9,0
65,346,1583-10-25,27,2,6
305,65,1584-03-15,1,1,11
1,66,1582-11-08,8,15,7
1,67,1582-11-08,100,0,0
77,67,1583-06-29,250,0,0
67,77,1583-12-28,350,0,0
1,68,1582-11-08,15,10,0
1,69,1582-11-08,19,0,0
1,70,1582-11-08,100,14,11
2,70,1583-09-26,160,0,0
2,70,1583-11-28,159,11,8
2,70,1583-11-28,76,8,10
70,455,1584-07-30,88,0,0
1,71,1582-11-08,122,8,6
2,71,1583-11-16,0,2,0
89,71,1583-11-16,2,0,0
1,72,1582-11-08,153,15,6
72,316,1582-11-23,153,15,6
1,73,1582-11-08,6,3,2
305,73,1583-01-15,4,5,6
73,2,1583-05-21,159,11,8
73,305,1583-06-29,4,5,6
73,81,1583-08-01,3,10,0
2,73,1583-08-13,100,0,0
2,73,1583-08-13,241,18,0
2,73,1583-08-13,45,1,7
2,73,1583-08-25,0,5,0
2,73,1583-08-25,146,7,1
2,73,1583-09-06,70,5,10
73,272,1583-09-19,603,12,6
2,73,1583-11-04,0,14,7
1,74,1582-11-08,326,14,11
74,90,1583-09-19,627,13,9
1,75,1582-11-08,0,6,2
2,75,1583-08-11,4,3,4
1,76,1582-11-08,14,17,5
1,77,1582-11-08,96,6,0
2,77,1582-11-17,95,0,0
2,77,1582-11-28,12,0,0
77,81,1583-01-10,14,17,3
2,77,1583-01-22,50,3,4
151,77,1583-02-05,200,0,0
2,77,1583-02-16,4,3,4
2,77,1583-02-16,50,0,0
77,256,1583-06-29,101,0,0
77,158,1583-06-29,4,13,0
77,93,1583-06-29,53,9,2
2,77,1583-08-25,30,0,0
2,77,1583-11-29,13,7,2
1,78,1582-11-08,163,4,0
1,79,1582-11-08,462,5,10
79,124,1583-01-06,16,0,0
79,302,1583-01-06,8,6,8
2,79,1583-02-16,42,17,4
79,2,1583-07-17,1,10,0
79,124,1583-07-17,3,19,7
158,79,1583-11-16,150,1,0
1,80,1582-11-08,1,0,9.5
2,80,1582-11-23,1,6,4
2,80,1583-01-03,1,3,4
2,80,1583-01-07,2,13,4
2,80,1583-01-31,1,17,4
2,80,1583-03-12,0,12,8
80,2,1583-03-16,9,12,6
80,2,1583-04-26,23,6,6
80,2,1583-04-26,6,3,8
2,80,1583-04-27,1,4,8
80,2,1583-05-14,10,11,4
80,2,1583-08-11,15,0,0
80,2,1583-08-11,3,6,8
2,80,1583-08-11,5,17,4
80,2,1583-08-11,6,17,6
80,2,1583-09-06,0,12,2
2,80,1583-09-24,2,13,4
2,80,1583-10-26,1,16,8
2,80,1583-11-02,1,0,0
2,80,1583-11-02,1,6,8
2,80,1584-02-03,1,0,0
2,80,1584-02-03,1,19,3
80,2,1584-03-15,5,10,0
80,2,1584-03-20,12,4,8
80,2,1584-04-12,10,7,8
2,80,1584-04-22,3,4,8
2,80,1584-05-07,1,15,0
80,2,1584-12-07,7,10,0
80,2,1584-12-31,13,15,0
2,80,1585-01-18,1,10,0
80,2,1585-01-18,5,12,5
2,80,1585-02-19,1,14,1
2,80,1585-02-19,8,16,2
2,80,1585-03-01,1,16,3
2,80,1594-01-20,0,6,6
1,81,1582-11-08,17,10,9
81,304,1583-01-10,36,8,3
2,81,1583-02-12,0,7,8
81,190,1583-08-04,346,12,4
81,191,1583-08-07,109,4,9
2,81,1583-08-25,50,0,0
2,81,1583-10-15,100,0,0
2,81,1583-10-15,50,0,0
2,81,1583-10-28,50,0,0
2,81,1583-11-28,50,0,0
2,81,1583-11-29,12,2,1
2,81,1583-12-15,15,0,0
2,81,1584-01-07,116,13,4
81,2,1584-02-20,61,6,2
2,81,1584-03-22,29,7,4
1,82,1582-11-08,216,4,8
2,82,1583-10-21,25,8,3
1,83,1582-11-08,249,1,1
83,201,1583-09-19,283,7,4
1,84,1582-11-08,46,4,6
84,2,1584-07-02,21,6,3
84,2,1584-07-17,18,8,0
1,85,1582-11-08,2,10,4
85,139,1594-09-20,2,10,4
1,86,1582-11-08,17,12,0
86,202,1583-09-19,105,9,10
86,70,1583-09-19,8,16,0
1,87,1582-11-08,16,6,10
88,87,1584-02-22,8,18,4
88,87,1594-09-20,25,6,3
1,88,1582-11-08,95,11,10
88,164,1583-02-21,152,6,2
88,153,1584-02-22,31,5,0
1,89,1582-11-08,2,0,0
1,90,1582-11-08,5446,3,7
